hkanji	jis
促	4225
賊	4231
妥	4245
堕	4244
惰	4246
駄	424C
耐	4251
怠	4255
胎	425B
泰	4259
袋	425E
逮	4261
替	4258
滞	425A
滝	426C
択	4272
沢	4274
卓	426E
拓	4273
託	4277
濯	4275
諾	427A
濁	4279
但	4322
脱	4326
奪	4325
棚	432A
丹	4330
胆	4340
淡	4338
嘆	4332
端	433C
誕	4342
鍛	4343
弾	4346
壇	4345
恥	4351
致	4357
遅	4359
痴	4354
稚	4355
畜	435C
逐	4360
蓄	435F
秩	4361
窒	4362
嫡	4364
沖	322D
抽	436A
衷	436F
鋳	4372
駐	4373
弔	4424
挑	4429
彫	4426
眺	442F
釣	4460
脹	4431
超	4436
跳	4437
徴	4427
澄	4021
聴	4430
懲	4428
勅	443C
沈	4440
珍	4441
朕	443F
陳	4444
鎮	4443
墜	4446
塚	444D
漬	4452
坪	445A
廷	446E
呈	4468
抵	4471
邸	4521
亭	4462
貞	4467
帝	446B
訂	447B
逓	447E
偵	4465
堤	4469
艇	447A
締	4479
泥	4525
笛	452B
摘	4526
滴	4529
迭	4533
哲	452F
徹	4530
撤	4531
添	453A
殿	4542
斗	454D
吐	4547
途	4553
渡	454F
塗	4549
奴	455B
怒	455C
豆	4626
到	457E
逃	4628
倒	455D
凍	4560
唐	4562
桃	456D
透	4629
悼	4569
盗	4570
陶	462B
塔	4563
搭	456B
棟	456F
痘	4577
筒	457B
稲	3070
踏	4627
謄	4625
闘	462E
騰	462D
洞	4636
胴	4639
峠	463D
匿	463F
督	4644
篤	4646
凸	464C
突	464D
屯	4656
豚	465A
鈍	465F
曇	465E
軟	4670
尼	4674
尿	4722
妊	4725
忍	4726
寧	472B
粘	4734
悩	473A
濃	473B
把	4744
覇	4746
婆	474C
杯	4755
排	4753
廃	4751
輩	475A
梅	475F
培	475D
陪	4766
媒	475E
賠	4765
伯	476C
拍	476F
泊	4771
迫	4777
舶	4775
薄	4776
漠	4779
縛	477B
爆	477A
箱	4822
肌	4829
鉢	482D
髪	4831
伐	4832
抜	4834
罰	4833
閥	4836
帆	4841
伴	483C
畔	484A
般	484C
販	484E
搬	4842
煩	4851
頒	4852
範	484F
繁	484B
藩	484D
蛮	485A
盤	4857
妃	485E
彼	4860
披	4864
卑	485C
疲	4868
被	486F
扉	4862
碑	486A
罷	486D
避	4872
尾	4878
微	4879
匹	4924
泌	4867
姫	4931
漂	493A
苗	4944
描	4941
猫	472D
浜	494D
賓	4950
頻	4951
敏	4952
瓶	4953
扶	495E
怖	495D
附	496D
赴	496B
浮	4962
符	4964
普	4961
腐	4965
敷	495F
膚	4966
賦	496A
譜	4968
侮	496E
舞	4971
封	4975
伏	497A
幅	497D
覆	4A24
払	4A27
沸	4A28
紛	4A36
雰	4A37
噴	4A2E
墳	4A2F
憤	4A30
丙	4A3A
併	4A3B
並	4A42
柄	4A41
塀	4A3D
幣	4A3E
弊	4A40
壁	4A49
癖	4A4A
偏	4A50
遍	4A57
捕	4A61
浦	313A
舗	4A5E
募	4A67
慕	4A69
暮	4A6B
簿	4A6D
芳	4B27
邦	4B2E
奉	4A74
抱	4A7A
泡	4B22
胞	4B26
俸	4A70
倣	4A6F
峰	4A76
砲	4B24
崩	4A78
飽	4B30
褒	4B2B
縫	4B25
乏	4B33
忙	4B3B
坊	4B37
妨	4B38
房	4B3C
肪	4B43
某	4B3F
冒	4B41
剖	4B36
紡	4B42
傍	4B35
帽	4B39
膨	4B44
謀	4B45
朴	4B51
僕	4B4D
墨	4B4F
撲	4B50
没	4B57
堀	4B59
奔	4B5B
翻	4B5D
凡	4B5E
盆	4B5F
麻	4B63
摩	4B60
磨	4B61
魔	4B62
埋	4B64
膜	4B6C
又	4B74
抹	4B75
慢	4B7D
漫	4C21
魅	4C25
岬	4C28
妙	4C2F
眠	4C32
矛	4C37
夢	4C34
霧	4C38
娘	4C3C
銘	4C43
滅	4C47
免	4C48
茂	4C50
妄	4C51
盲	4C55
耗	4C57
猛	4C54
網	4C56
黙	4C5B
紋	4C66
匁	4C68
厄	4C71
躍	4C76
愉	4C7B
諭	4D21
癒	4C7E
唯	4D23
幽	4D29
悠	4D2A
猶	4D31
裕	4D35
雄	4D3A
誘	4D36
憂	4D2B
融	4D3B
与	4D3F
誉	4D40
庸	4D47
揚	4D48
揺	4D49
溶	4D4F
腰	3978
踊	4D59
窯	4D52
擁	4D4A
謡	4D58
抑	4D5E
翼	4D63
裸	4D67
羅	4D65
雷	4D6B
頼	4D6A
絡	4D6D
酪	4D6F
濫	4D74
欄	4D73
吏	4D79
痢	4E21
履	4D7A
離	4E25
柳	4C78
竜	4E35
粒	4E33
隆	4E34
硫	4E32
虜	4E3A
慮	4E38
了	4E3B
涼	4E43
猟	4E44
陵	4E4D
僚	4E3D
寮	4E40
療	4E45
糧	4E48
厘	4E52
倫	4E51
隣	4E59
涙	4E5E
累	4E5F
塁	4E5D
励	4E65
戻	4C61
鈴	4E6B
零	4E6D
霊	4E6E
隷	4E6C
齢	4E70
麗	4E6F
暦	4E71
劣	4E74
烈	4E75
裂	4E76
恋	4E78
廉	4E77
錬	4F23
炉	4F27
露	4F2A
郎	4F3A
浪	4F32
廊	4F2D
楼	4F30
漏	4F33
賄	4F45
惑	4F47
枠	4F48
湾	4F51
腕	4F53
